"ID","COPYRIGHT_ID","NAME","COPYRIGHT","TERMS_OF_USE","URL"
"3","Pfizer","Pfizer, Inc","Copyright © Pfizer Inc. All rights reserved.","Developed by Drs. Robert L. Spitzer, Janet B.W. Williams, Kurt Kroenke and colleagues, with an educational grant from Pfizer Inc. No permission required to reproduce, translate, display or distribute.","http://www.phqscreeners.com/terms.aspx"
"4","UCHSC","Center for Health Policy Research, UCHSC, Denver, CO","Copyright © 2002 Center for Health Services Research, UCHSC, Denver, CO.","Used with permission.",""
"5","interRAI","interRAI","InterRAI holds the copyright to Version 2.0 of the RAI for long term care outside of the US. Supplemental help and contextual information for MDS items in LOINC was derived from Version 2.0 of the RAI/MDS manual, and should not be reproduced outside of the United States without permission of InterRAI. Within the US, Version 2.0 is in the public domain.","As a not for profit corporation under the US Tax Code, interRAI holds the copyright to a number of assessment systems, including the Resident Assessment Instrument (RAI) for long term care facilities outside of the US (the RAI is in the public domain within the US), as well as the assessment systems for Home Care (HC), Assisted Living (AL), Palliative Care (PC), Mental Health (MH) (outside of Canada), and Acute Care (RAI-AC).    The scales, algorithms, and case-mix measures based on these assessment instruments cannot be copyrighted and are thus available to everyone (although the individual items on which they are based are usually copyrighted).    The major clauses of our royalty-free licenses follow:        * the instrument is not to be changed substantially (excepting individual identifiers and demographics);      * the license is limited to non-commercial use (i.e., the instrument will not be not incorporated into products to be sold to others);      * no royalties will be charged;      * the organization will make appropriate efforts to inform others of the copyright status of the instrument;      * interRAI's logo and copyright notice are to appear on the form;      * authors, author institutions, and translators (as appropriate) are to be acknowledged in any document where authors would regularly be indicated (e.g., publication of a training manual);      * publication of any training manual is limited to the period until a commercially-published version is available;      * data from use of the instrument are to be shared with interRAI, subject to existing laws on confidentiality.    Commercial use usually requires royalties. In this instance, interRAI may omit the data requirement, but retains the other requirements for a logo, attribution, etc.    We will be pleased in any contract negotiations to acknowledge the participation of individuals or organizations which have played a substantial role in getting the instrument to the point of implementation.    For more information on licensing with interRAI, please contact the president of the Board:    Brant E. Fries, Ph.D.  Institute of Gerontology  University of Michigan  300 North Ingalls  Ann Arbor, Michigan USA 48109  Email: bfries@umich.edu","http://www.interrai.org"
"8","UMich","The Regents of the University of Michigan","Copyright © 2002 The Regents of the University of Michigan","Include the following when printing the FLACC on documentation records, etc: Printed with permission © 2002, The Regents of the University of Michigan","http://www.umich.edu"
"32","WHO_Q","World Health Organization (WHO) Questionnaires","Copyright © 2012 World Health Organization.","Used with permission.","http://www.who.int/about/licensing/en/"
"45","WHO_HIV","World Health Organization (WHO)","Copyright © 2006 World Health Organization.","Used with permission. Publications of the World Health Organization can be obtained from WHO Press, World Health Organization, 20 Avenue Appia, 1211 Geneva 27, Switzerland (tel: +41 22 791 2476; fax: +41 22 791 4857; email: bookorders@who.int). Requests for permission to reproduce or translate WHO publications – whether for sale or for noncommercial distribution – should be addressed to WHO Press, at the above address (fax: +41 22 791 4806; email: permissions@who.int). The designations employed and the presentation of the material in this publication do not imply the expression of any opinion whatsoever on the part of the World Health Organization concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries. Dotted lines on maps represent approximate border lines for which there may not yet be full agreement. The mention of specific companies or of certain manufacturers’ products does not imply that they are endorsed or recommended by the World Health Organization in preference to others of a similar nature that are not mentioned. Errors and omissions excepted, the names of proprietary products are distinguished by initial capital letters. All reasonable precautions have been taken by WHO to verify the information contained in this publication. However, the published material is being distributed without warranty of any kind, either express or implied. The responsibility for the interpretation and use of the material lies with the reader. In no event shall the World Health Organization be liable for damages arising from its use.","http://www.who.int/about/licensing/en/"
"46","Braden","Braden and Bergstrom","Copyright © 1988 Barbara Braden and Nancy Bergstrom.","Used with permission. It is understood that the name of the instrument and the indication that the copyright belongs to Braden and Bergstrom remain on any copies and that you do not make any changes to the wording or scoring of this tool.","http://www.bradenscale.com"
"53","NMMDS","NMMDS","Copyright © 2006 Diane Huber and Connie Delaney.","Used with permission.","https://www.nursing.umn.edu/sites/nursing.umn.edu/files/nmmds_ig.pdf"
"105","RHO","Routine Health Outcomes","Copyright © 2008 Routine Health Outcomes Ltd. All rights reserved. Used with Permission. Users should notify Tim Benson by email: timbenson@routinehealthoutcomes.com","Used with permission",""
"124","CAM","Dr. SK Inouye","Copyright © 2003 Sharon K. Inouye, M.D., MPH. Adapted from: Inouye SK, vanDyck CH, Alessi CA, Balkin S, Siegal AP, Horwitz RI. Clarifying confusion: The Confusion Assessment Method. A new method for detection of delirium. Ann Intern Med. 1990; 113: 941-948. Confusion Assessment Method: Training Manual and Coding Guide.","Used with permission.","http://www.hospitalelderlifeprogram.org/delirium-instruments/"
"154","IMPS","Infant Motor Performance Scales, LLC","Copyright © 2001 IMPS, LLC. Authors: Suzann K. Campbell, Gay L. Girolami, Thubi, H. A. Kolobe, Elizabeth T. Osten, Maureen C. Lenke. All rights reserved.","Used with permission.","https://www.infantmotortest.com/terms.html"
"159","PROMIS","PROMIS","Copyright © 2010 PROMIS Health Organization or other individuals/entities that have contributed information and materials to Assessment Center, and are being used with the permission of the copyright holders.","Use of PROMIS instruments (e.g., item banks, short forms, profile measures) are subject to the PROMIS Terms and Conditions available at: http://www.assessmentcenter.net/TandC.aspx","http://www.healthmeasures.net/explore-measurement-systems/promis"
"178","IASP","International Association for the Study of Pain","Copyright © 2011 International Association for the Study of Pain (IASP).","Used with permission. Before translating text into a language other than found on the Pediatric Pain Sourcebook (www.painsourcebook.ca), please contact IASP to gain permission.","http://www.iasp-pain.org"
"184","APTA","American Physical Therapy Association","Copyright © 2012, 2006, 2005 American Physical Therapy Association. All rights reserved.","Used with permission per LOINC Terms of Use, and in addition: Any further distribution or reproduction must include the following copyright statement: “Copyright ©2005 American Physical Therapy Association. All rights reserved.” Contact permissions@apta.org with questions or for further information.","http://www.apta.org/OPTIMAL/"
